Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-02,10-Q,265.599,273.611,3.02,299.093,12.61
2022-08-03,10-Q,238.405,233.777,-1.94,258.071,8.25
2022-05-04,10-Q,214.115,235.013,9.76,211.69,-1.13
2022-02-22,10-K,190.25,180.482,-5.13,184.885,-2.82
2021-11-04,10-Q,269.946,269.798,-0.05,269.599,-0.13
2021-08-04,10-Q,204.44,216.083,5.7,233.252,14.09
2021-05-05,10-Q,164.841,150.738,-8.56,152.464,-7.51
2021-02-19,10-K,153.618,153.933,0.2,154.641,0.67
2020-11-04,10-Q,91.655,103.496,12.92,116.318,26.91
2020-08-05,10-Q,86.575,81.435,-5.94,88.939,2.73
2020-05-11,10-Q,62.649,57.64,-8.0,62.182,-0.75
2020-02-26,10-K,82.85,78.159,-5.66,83.45,0.72
2019-11-06,10-Q,64.177,68.669,7.0,62.696,-2.31
2019-08-07,10-Q,64.669,70.314,8.73,61.511,-4.88
2019-05-08,10-Q,69.089,69.118,0.04,66.233,-4.13
2019-02-27,10-K,87.466,86.528,-1.07,81.865,-6.4
2018-11-07,10-Q,101.971,99.969,-1.96,94.369,-7.45
2018-08-07,10-Q,87.342,92.951,6.42,91.595,4.87
2018-05-10,10-Q,92.264,92.404,0.15,98.274,6.51
2018-02-28,10-K,93.871,89.739,-4.4,93.515,-0.38
2017-11-09,10-Q,131.318,131.112,-0.16,126.18,-3.91
2017-08-08,10-Q,107.333,105.24,-1.95,104.05,-3.06
2017-05-04,10-Q,100.811,102.016,1.2,102.693,1.87
2017-02-28,10-K,93.842,94.905,1.13,95.949,2.25
2016-11-08,10-Q,76.243,74.097,-2.82,73.82,-3.18
2016-08-05,10-Q,75.558,75.411,-0.19,76.182,0.83
2016-05-10,10-Q,62.04,68.248,10.01,69.637,12.25
2016-02-29,10-K,51.142,53.362,4.34,53.489,4.59
2015-11-06,10-Q,45.831,45.144,-1.5,43.064,-6.04
2015-08-07,10-Q,46.017,47.32,2.83,45.901,-0.25
2015-05-11,10-Q,56.535,56.026,-0.9,56.544,0.02
2015-03-02,10-K,50.388,50.442,0.11,48.806,-3.14
2014-10-29,10-Q,50.605,50.746,0.28,53.755,6.22
2014-07-31,10-Q,54.046,54.407,0.67,53.394,-1.21
2014-04-24,10-Q,58.668,57.799,-1.48,59.458,1.35
2014-02-25,10-K,56.184,57.303,1.99,57.723,2.74
2013-10-18,10-Q,58.621,58.176,-0.76,58.882,0.45
2013-07-19,10-Q,54.514,54.288,-0.41,53.576,-1.72
2013-04-19,10-Q,50.847,50.994,0.29,50.882,0.07
2013-02-15,10-K,56.344,56.706,0.64,54.604,-3.09
2012-10-19,10-Q,47.495,48.224,1.54,47.46,-0.07
2012-07-19,10-Q,49.209,48.816,-0.8,48.217,-2.02
2012-04-19,10-Q,54.33,55.787,2.68,55.523,2.2
2012-02-22,10-K,56.247,56.578,0.59,56.527,0.5
2011-10-25,10-Q,43.156,44.646,3.45,43.164,0.02
2011-07-26,10-Q,57.661,57.34,-0.56,53.307,-7.55
2011-04-28,10-Q,57.844,59.375,2.65,57.187,-1.13
2011-02-25,10-K,48.029,48.297,0.56,48.901,1.82
2010-10-29,10-Q,41.957,42.007,0.12,44.442,5.92
2010-08-06,10-Q,37.877,38.26,1.01,34.807,-8.1
2010-05-07,10-Q,32.612,35.455,8.72,34.907,7.04
2010-02-26,10-K,31.06,32.676,5.2,34.109,9.82
2009-11-06,10-Q,27.518,28.5,3.57,28.459,3.42
2009-08-07,10-Q,26.364,26.076,-1.09,25.986,-1.44
2009-05-08,10-Q,22.765,21.938,-3.63,21.832,-4.1
2009-02-27,10-K,15.73,14.885,-5.37,13.145,-16.43
2008-11-07,10-Q,19.997,19.787,-1.05,18.267,-8.65
2008-08-07,10-Q,31.59,32.428,2.65,32.967,4.36
2008-05-05,10-Q,30.787,30.723,-0.21,33.413,8.53
2008-02-29,10-K,30.375,30.023,-1.16,28.469,-6.27
2007-11-06,10-Q,37.217,35.939,-3.43,34.358,-7.68
2007-08-06,10-Q,30.547,30.133,-1.36,30.483,-0.21
2007-05-07,10-Q,33.365,33.365,0.0,32.936,-1.29
2007-03-01,10-K,32.47,32.419,-0.16,32.522,0.16
2006-11-07,10-Q,25.691,25.615,-0.29,26.608,3.57
2006-08-07,10-Q,20.775,20.625,-0.72,20.255,-2.5
2006-05-09,10-Q,19.281,19.246,-0.18,18.555,-3.77
2006-03-15,10-K,17.307,17.115,-1.11,16.813,-2.86
2005-11-09,10-Q,14.172,14.309,0.96,14.375,1.43
2005-08-08,10-Q,14.481,14.493,0.08,14.31,-1.18
2005-05-10,10-Q,14.162,14.401,1.69,14.471,2.18
2005-03-14,10-K,14.536,14.393,-0.98,14.386,-1.04
2004-11-09,10-Q,14.396,14.584,1.3,14.66,1.84
2004-08-09,10-Q,11.811,12.158,2.94,12.162,2.97
2004-05-07,10-Q,10.565,10.527,-0.36,10.482,-0.79
2004-03-01,10-K,10.867,10.965,0.9,10.965,0.9
2003-10-31,10-Q,10.072,10.23,1.57,10.347,2.72
2003-08-04,10-Q,10.075,9.933,-1.41,10.019,-0.56
2003-05-15,10-Q,9.673,9.655,-0.19,9.599,-0.77
2003-02-26,10-K,8.789,8.774,-0.17,8.538,-2.86
2002-11-12,10-Q,10.459,10.606,1.41,10.985,5.03
2002-08-14,10-Q,11.383,11.292,-0.8,11.347,-0.32
2002-05-08,10-Q,11.483,11.465,-0.16,11.432,-0.44
2002-02-27,10-K,8.719,8.599,-1.37,9.249,6.07
2001-11-13,10-Q,7.621,7.73,1.42,7.888,3.5
2001-08-13,10-Q,7.452,7.323,-1.73,7.474,0.29
2001-04-27,10-Q,8.232,8.321,1.08,8.011,-2.68
2000-10-31,10-Q,8.166,7.593,-7.01,7.571,-7.28
2000-08-04,10-Q,8.456,8.587,1.55,8.434,-0.26
2000-05-12,10-Q,7.63,7.652,0.29,7.935,4.0
2000-03-22,10-K,6.562,6.518,-0.66,6.257,-4.65
2023-02-15,10-K,272.281,285.087,4.7,253.376,-6.94
