Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-04,10-Q,44.205,44.792,1.33,49.161,11.21
2022-08-04,10-Q,49.635,50.022,0.78,52.288,5.35
2022-05-09,10-Q,47.836,46.743,-2.29,45.506,-4.87
2022-02-28,10-K,56.213,55.605,-1.08,52.72,-6.21
2021-11-08,10-Q,64.455,64.022,-0.67,64.728,0.42
2021-08-04,10-Q,64.057,65.151,1.71,69.461,8.44
2021-05-06,10-Q,69.391,69.67,0.4,69.864,0.68
2021-02-26,10-K,60.71,64.083,5.56,64.719,6.6
2020-11-04,10-Q,38.45,39.355,2.35,44.709,16.28
2020-08-05,10-Q,46.066,45.931,-0.29,48.151,4.53
2020-05-04,10-Q,40.315,39.27,-2.59,39.377,-2.33
2020-02-21,10-K,67.582,64.125,-5.12,56.106,-16.98
2019-11-01,10-Q,64.853,66.004,1.77,66.856,3.09
2019-08-01,10-Q,59.161,58.96,-0.34,58.202,-1.62
2019-04-30,10-Q,60.804,60.167,-1.05,58.996,-2.97
2019-02-22,10-K,55.162,55.497,0.61,55.446,0.51
2018-10-30,10-Q,54.733,55.522,1.44,56.946,4.04
2018-07-31,10-Q,60.594,60.627,0.06,61.417,1.36
2018-05-01,10-Q,57.255,57.037,-0.38,59.844,4.52
2018-02-23,10-K,64.662,65.14,0.74,61.81,-4.41
2017-10-31,10-Q,61.147,61.588,0.72,60.75,-0.65
2017-08-01,10-Q,57.635,57.486,-0.26,57.303,-0.58
2017-05-01,10-Q,49.239,49.446,0.42,50.1,1.75
2017-02-24,10-K,49.19,49.57,0.77,50.379,2.42
2016-10-31,10-Q,40.343,40.171,-0.43,41.028,1.7
2016-08-01,10-Q,35.64,35.287,-0.99,37.725,5.85
2016-05-02,10-Q,38.177,37.27,-2.38,35.896,-5.98
2016-02-26,10-K,32.271,31.74,-1.65,34.992,8.43
2015-10-30,10-Q,43.386,43.924,1.24,45.589,5.08
2015-08-03,10-Q,47.642,47.667,0.05,47.887,0.51
2015-05-11,10-Q,43.961,43.774,-0.43,44.531,1.3
2015-02-25,10-K,42.389,42.65,0.61,43.675,3.03
2014-10-30,10-Q,43.243,43.552,0.71,43.926,1.58
2014-08-01,10-Q,39.127,39.322,0.5,39.411,0.73
2014-05-02,10-Q,38.818,38.371,-1.15,38.216,-1.55
2014-03-03,10-K,38.712,39.704,2.56,40.306,4.12
2013-11-01,10-Q,39.623,39.534,-0.23,40.598,2.46
2013-08-02,10-Q,43.077,42.972,-0.25,41.712,-3.17
2013-05-03,10-Q,38.169,38.583,1.09,39.616,3.79
2013-03-01,10-K,34.212,34.887,1.97,37.925,10.85
2012-11-06,10-Q,31.247,29.282,-6.29,29.371,-6.0
2012-08-03,10-Q,22.25,23.192,4.23,23.468,5.47
2012-05-04,10-Q,25.651,25.708,0.22,23.824,-7.12
2012-02-24,10-K,26.252,26.722,1.79,27.672,5.41
2011-11-04,10-Q,24.613,24.783,0.69,23.793,-3.33
2011-08-05,10-Q,27.118,22.666,-16.42,24.207,-10.74
2011-05-05,10-Q,36.312,36.637,0.89,34.383,-5.31
2011-02-25,10-K,38.096,37.934,-0.43,36.799,-3.4
2010-11-05,10-Q,36.394,35.988,-1.11,34.772,-4.45
2010-08-06,10-Q,32.908,33.07,0.49,31.449,-4.43
2010-05-07,10-Q,32.422,34.205,5.5,32.26,-0.5
2010-02-26,10-K,27.559,27.478,-0.29,28.369,2.94
2009-11-06,10-Q,32.908,33.962,3.2,32.827,-0.25
2009-08-07,10-Q,31.206,31.936,2.34,32.746,4.94
2009-05-11,10-Q,31.287,29.666,-5.18,29.504,-5.7
2009-02-27,10-K,12.158,9.727,-20.0,8.349,-31.33
2008-10-31,10-Q,110.377,113.126,2.49,95.579,-13.41
2008-08-01,10-Q,150.696,150.376,-0.21,154.848,2.76
2008-05-02,10-Q,207.165,202.141,-2.43,185.499,-10.46
2008-02-22,10-K,194.698,191.753,-1.51,183.77,-5.61
2007-11-05,10-Q,275.057,268.775,-2.28,257.205,-6.49
2007-08-03,10-Q,345.781,365.672,5.75,355.462,2.8
2007-05-04,10-Q,404.368,402.798,-0.39,397.042,-1.81
2007-02-23,10-K,397.979,389.911,-2.03,369.853,-7.07
2006-11-03,10-Q,363.445,368.062,1.27,371.067,2.1
2006-08-04,10-Q,351.979,350.02,-0.56,345.738,-1.77
2006-05-05,10-Q,361.874,360.365,-0.42,351.96,-2.74
2006-02-24,10-K,333.131,332.633,-0.15,326.518,-1.99
2005-11-04,10-Q,320.814,326.653,1.82,337.699,5.26
2005-08-04,10-Q,306.01,303.989,-0.66,303.153,-0.93
2005-05-04,10-Q,324.016,323.395,-0.19,322.154,-0.57
2005-02-28,10-K,326.112,327.205,0.34,331.237,1.57
2004-11-04,10-Q,312.183,312.454,0.09,313.334,0.37
2004-08-04,10-Q,297.999,294.173,-1.28,297.663,-0.11
2004-05-05,10-Q,323.429,315.98,-2.3,308.0,-4.77
2004-03-01,10-K,332.829,328.277,-1.37,329.399,-1.03
2003-11-04,10-Q,316.124,317.301,0.37,310.039,-1.92
2003-08-04,10-Q,284.9,279.704,-1.82,289.316,1.55
2003-05-02,10-Q,255.824,254.728,-0.43,251.635,-1.64
2003-03-03,10-K,211.887,207.527,-2.06,206.437,-2.57
2002-11-13,10-Q,223.126,230.393,3.26,240.912,7.97
2002-08-07,10-Q,186.472,200.552,7.55,208.48,11.8
2002-05-14,10-Q,267.145,269.263,0.79,266.321,-0.31
2001-11-14,10-Q,294.649,292.546,-0.71,285.596,-3.07
2001-08-13,10-Q,285.931,283.72,-0.77,275.863,-3.52
2001-05-14,10-Q,290.655,293.266,0.9,299.125,2.91
2000-11-13,10-Q,291.434,292.877,0.5,284.942,-2.23
2000-08-11,10-Q,312.677,319.422,2.16,322.794,3.24
2000-05-12,10-Q,259.119,270.689,4.47,262.348,1.25
2023-02-27,10-K,49.923,50.14,0.44,51.614,3.39
