Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,150.272,152.458,1.45,153.442,2.11
2022-08-04,10-Q,157.871,156.258,-1.02,160.267,1.52
2022-05-05,10-Q,156.331,159.999,2.35,153.265,-1.96
2022-02-25,10-K,136.25,138.928,1.97,146.346,7.41
2021-11-05,10-Q,121.627,119.937,-1.39,116.613,-4.12
2021-08-05,10-Q,125.899,125.321,-0.46,125.406,-0.39
2021-05-05,10-Q,127.257,128.319,0.83,127.004,-0.2
2021-02-25,10-K,110.903,108.015,-2.6,108.956,-1.76
2020-11-05,10-Q,117.331,115.317,-1.72,122.218,4.17
2020-08-05,10-Q,116.278,117.349,0.92,122.832,5.64
2020-05-04,10-Q,112.625,112.716,0.08,113.242,0.55
2020-02-27,10-K,127.014,125.541,-1.16,127.319,0.24
2019-11-01,10-Q,131.441,130.147,-0.98,126.827,-3.51
2019-08-02,10-Q,120.244,117.089,-2.62,122.017,1.47
2019-05-07,10-Q,110.628,110.672,0.04,113.84,2.9
2019-02-26,10-K,103.825,105.074,1.2,105.729,1.83
2018-11-07,10-Q,101.801,102.157,0.35,97.645,-4.08
2018-08-06,10-Q,99.111,99.644,0.54,98.716,-0.4
2018-05-07,10-Q,94.359,90.745,-3.83,90.804,-3.77
2018-02-27,10-K,93.053,92.157,-0.96,92.478,-0.62
2017-10-30,10-Q,98.561,98.603,0.04,99.753,1.21
2017-08-04,10-Q,97.649,97.591,-0.06,96.332,-1.35
2017-05-09,10-Q,92.251,92.35,0.11,91.498,-0.82
2017-02-28,10-K,90.545,90.02,-0.58,90.783,0.26
2016-11-02,10-Q,80.966,82.286,1.63,81.219,0.31
2016-08-04,10-Q,89.26,86.63,-2.95,86.589,-2.99
2016-05-04,10-Q,84.459,84.756,0.35,84.684,0.27
2016-02-26,10-K,76.251,77.009,0.99,78.086,2.41
2015-11-03,10-Q,82.723,83.571,1.02,80.229,-3.02
2015-08-04,10-Q,78.572,79.145,0.73,80.843,2.89
2015-05-05,10-Q,81.438,80.572,-1.06,82.258,1.01
2015-02-26,10-K,84.12,83.926,-0.23,84.399,0.33
2014-11-04,10-Q,85.489,87.447,2.29,86.715,1.43
2014-08-07,10-Q,76.236,77.324,1.43,78.419,2.86
2014-05-02,10-Q,74.666,75.054,0.52,74.864,0.27
2014-02-27,10-K,71.137,71.417,0.39,70.767,-0.52
2013-11-05,10-Q,67.919,69.037,1.65,66.68,-1.82
2013-08-06,10-Q,65.329,65.486,0.24,64.018,-2.01
2013-05-02,10-Q,61.567,62.041,0.77,60.547,-1.66
2013-02-26,10-K,56.522,56.999,0.84,58.342,3.22
2012-11-06,10-Q,50.019,48.739,-2.56,48.149,-3.74
2012-08-02,10-Q,49.896,50.61,1.43,49.644,-0.51
2012-05-04,10-Q,46.372,46.458,0.18,46.351,-0.05
2012-02-28,10-K,41.275,41.883,1.47,41.233,-0.1
2011-11-03,10-Q,37.49,37.532,0.11,37.161,-0.88
2011-08-09,10-Q,33.104,31.716,-4.19,34.186,3.27
2011-05-09,10-Q,37.831,38.085,0.67,37.817,-0.04
2011-02-24,10-K,36.092,36.398,0.85,36.616,1.45
2010-11-09,10-Q,34.883,35.093,0.6,33.781,-3.16
2010-08-03,10-Q,34.476,34.537,0.18,35.195,2.08
2010-05-04,10-Q,32.598,32.052,-1.68,31.499,-3.37
2010-02-26,10-K,32.49,32.576,0.26,32.86,1.14
2009-11-09,10-Q,34.084,34.556,1.39,34.569,1.42
2009-07-31,10-Q,34.142,34.122,-0.06,32.95,-3.49
2009-05-05,10-Q,30.632,29.586,-3.42,29.682,-3.1
2009-02-24,10-K,26.498,26.613,0.43,24.578,-7.24
2008-11-10,10-Q,25.978,26.498,2.0,25.882,-0.37
2008-08-07,10-Q,35.169,36.026,2.44,35.661,1.4
2008-05-02,10-Q,36.825,36.155,-1.82,35.798,-2.79
2008-02-26,10-K,34.709,34.198,-1.47,32.717,-5.74
2007-11-01,10-Q,37.275,37.901,1.68,38.105,2.23
2007-08-02,10-Q,34.709,33.218,-4.29,33.015,-4.88
2007-05-02,10-Q,38.748,38.913,0.43,38.178,-1.47
2007-02-23,10-K,36.941,37.52,1.57,36.167,-2.1
2006-11-02,10-Q,32.246,31.876,-1.15,32.209,-0.11
2006-08-03,10-Q,27.398,27.152,-0.9,27.015,-1.4
2006-05-02,10-Q,25.762,25.717,-0.18,25.819,0.22
2006-02-23,10-K,27.393,27.438,0.16,27.105,-1.05
2005-11-02,10-Q,24.133,24.15,0.07,24.627,2.05
2005-08-03,10-Q,24.08,23.896,-0.76,23.478,-2.5
