Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,60.187,61.535,2.24,63.839,6.07
2022-08-04,10-Q,69.937,70.217,0.4,71.279,1.92
2022-05-05,10-Q,64.077,63.141,-1.46,62.444,-2.55
2022-02-23,10-K,61.653,62.116,0.75,62.686,1.68
2021-11-02,10-Q,65.222,65.485,0.4,64.289,-1.43
2021-08-03,10-Q,63.145,62.912,-0.37,62.858,-0.45
2021-05-04,10-Q,61.345,59.596,-2.85,58.753,-4.23
2021-02-23,10-K,54.771,54.762,-0.02,53.209,-2.85
2020-11-03,10-Q,51.427,50.776,-1.27,56.132,9.15
2020-08-04,10-Q,53.077,53.497,0.79,53.78,1.33
2020-05-05,10-Q,44.128,44.492,0.83,43.805,-0.73
2020-02-24,10-K,68.844,67.797,-1.52,63.03,-8.45
2019-11-05,10-Q,64.956,65.43,0.73,62.905,-3.16
2019-08-06,10-Q,57.507,58.7,2.08,59.49,3.45
2019-05-02,10-Q,57.24,57.297,0.1,54.901,-4.09
2019-02-22,10-K,56.297,56.022,-0.49,55.996,-0.53
2018-11-01,10-Q,48.888,48.145,-1.52,49.919,2.11
2018-08-02,10-Q,44.957,45.557,1.34,45.012,0.12
2018-05-09,10-Q,41.261,41.768,1.23,40.504,-1.83
2018-02-22,10-K,37.978,38.672,1.83,38.387,1.08
2017-10-26,10-Q,40.528,40.899,0.92,41.814,3.17
2017-07-27,10-Q,43.465,43.06,-0.93,42.939,-1.21
2017-04-26,10-Q,43.918,44.253,0.76,43.048,-1.98
2017-02-23,10-K,46.303,46.546,0.52,44.759,-3.34
2016-10-26,10-Q,44.525,42.927,-3.59,41.326,-7.19
2016-07-28,10-Q,51.023,51.594,1.12,50.2,-1.61
2016-04-27,10-Q,42.384,42.54,0.37,44.622,5.28
2016-02-11,10-K,42.584,42.839,0.6,42.655,0.17
2015-10-29,10-Q,34.799,34.645,-0.44,35.023,0.64
2015-07-30,10-Q,32.952,33.422,1.43,32.896,-0.17
2015-04-30,10-Q,32.111,32.131,0.06,31.796,-0.98
2015-02-18,10-K,35.589,34.737,-2.39,34.541,-2.94
2014-10-30,10-Q,31.099,30.771,-1.05,31.326,0.73
2014-07-24,10-Q,29.402,29.382,-0.07,28.421,-3.34
2014-05-01,10-Q,28.172,28.172,0.0,28.681,1.81
2014-02-14,10-K,26.856,27.313,1.7,28.272,5.27
2013-10-31,10-Q,26.435,26.625,0.72,26.257,-0.67
2013-07-25,10-Q,27.669,27.632,-0.14,26.818,-3.08
2013-04-26,10-Q,30.617,31.149,1.74,32.034,4.63
2013-02-14,10-K,27.081,27.185,0.38,27.191,0.41
2012-10-25,10-Q,24.188,23.845,-1.42,23.737,-1.87
2012-07-26,10-Q,24.363,24.589,0.93,24.634,1.12
2012-04-27,10-Q,23.203,23.256,0.23,23.227,0.1
2012-02-13,10-K,21.595,21.39,-0.95,21.361,-1.08
2011-10-28,10-Q,19.595,19.284,-1.59,19.336,-1.33
2011-08-01,10-Q,18.52,18.03,-2.65,15.979,-13.72
2011-04-28,10-Q,20.291,19.999,-1.44,20.005,-1.41
2011-02-10,10-K,19.47,19.337,-0.68,19.62,0.77
2010-10-28,10-Q,18.889,18.812,-0.41,19.278,2.06
2010-07-29,10-Q,17.235,17.386,0.88,17.489,1.48
2010-04-29,10-Q,18.374,17.524,-4.62,16.043,-12.68
2010-02-11,10-K,13.717,14.223,3.69,15.061,9.8
2009-10-29,10-Q,12.086,12.019,-0.56,12.112,0.21
2009-07-30,10-Q,12.043,12.017,-0.21,12.925,7.32
2009-04-30,10-Q,11.162,10.547,-5.51,10.702,-4.12
2009-02-12,10-K,9.465,9.123,-3.62,9.025,-4.65
2008-10-31,10-Q,11.083,10.819,-2.38,10.162,-8.3
2008-07-31,10-Q,11.869,11.949,0.67,11.553,-2.66
2008-05-02,10-Q,11.642,11.818,1.51,11.114,-4.54
2008-02-15,10-K,10.793,10.789,-0.04,11.322,4.9
2007-11-02,10-Q,12.61,12.341,-2.14,13.046,3.45
2007-08-02,10-Q,10.733,10.516,-2.02,12.128,12.99
2007-05-03,10-Q,12.285,12.359,0.6,12.159,-1.03
2007-02-21,10-K,12.676,12.556,-0.95,11.886,-6.24
2006-11-06,10-Q,11.168,11.138,-0.27,11.172,0.04
2006-08-03,10-Q,9.74,9.907,1.72,9.748,0.09
2006-05-05,10-Q,9.291,9.316,0.27,9.036,-2.75
2006-02-23,10-K,9.55,9.44,-1.15,9.471,-0.82
2005-11-02,10-Q,8.822,8.774,-0.54,8.89,0.77
2005-08-03,10-Q,9.903,9.71,-1.95,9.116,-7.94
2005-05-04,10-Q,9.352,9.445,1.0,9.504,1.62
2005-03-04,10-K,9.441,9.46,0.2,8.933,-5.37
2004-11-03,10-Q,9.212,9.287,0.82,9.046,-1.8
2004-08-06,10-Q,7.538,7.474,-0.84,7.526,-0.15
2004-05-10,10-Q,6.642,6.778,2.04,6.906,3.97
2004-02-19,10-K,7.722,7.767,0.58,7.858,1.75
2003-11-06,10-Q,7.093,7.08,-0.18,7.169,1.08
2003-08-08,10-Q,6.834,6.846,0.18,6.802,-0.46
2003-05-08,10-Q,6.355,6.39,0.54,6.476,1.9
2003-03-05,10-K,5.989,5.878,-1.85,5.839,-2.51
2002-11-08,10-Q,5.719,5.622,-1.69,5.824,1.84
2002-08-09,10-Q,5.478,5.462,-0.3,5.536,1.05
2002-05-14,10-Q,5.404,5.477,1.35,5.42,0.3
2001-11-14,10-Q,4.509,4.462,-1.04,4.512,0.07
2001-08-14,10-Q,4.476,4.491,0.34,4.484,0.17
2001-05-14,10-Q,4.138,4.14,0.04,4.153,0.36
2000-11-13,10-Q,3.369,3.396,0.8,3.423,1.6
2000-08-11,10-Q,3.368,3.377,0.26,3.325,-1.3
2000-05-12,10-Q,3.13,3.139,0.27,3.079,-1.64
2023-02-22,10-K,64.73,65.283,0.85,63.002,-2.67
