Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-04-24,10-Q,162.55,160.67,-1.16,N/A,N/A
2023-01-31,10-K,173.22,181.41,4.73,196.81,13.62
2022-10-24,10-Q,211.25,222.42,5.29,227.54,7.71
2022-07-25,10-Q,268.433,258.86,-3.57,297.277,10.75
2022-04-25,10-Q,332.673,292.14,-12.18,300.98,-9.53
2022-02-07,10-K,302.447,307.333,1.62,291.92,-3.48
2021-10-25,10-Q,341.62,339.477,-0.63,402.863,17.93
2021-07-27,10-Q,214.927,215.66,0.34,236.58,10.07
2021-04-28,10-Q,231.467,225.667,-2.51,223.647,-3.38
2021-02-08,10-K,287.807,283.153,-1.62,265.407,-7.78
2020-10-26,10-Q,140.093,141.56,1.05,133.503,-4.7
2020-07-28,10-Q,98.433,99.941,1.53,99.133,0.71
2020-04-30,10-Q,52.125,46.755,-10.3,52.003,-0.24
2020-02-13,10-K,53.6,53.335,-0.49,60.067,12.06
2019-10-29,10-Q,21.081,21.001,-0.38,21.148,0.32
2019-07-29,10-Q,15.718,16.151,2.75,15.221,-3.16
2019-04-29,10-Q,16.098,15.913,-1.15,17.023,5.74
2019-02-19,10-K,20.376,20.171,-1.01,19.857,-2.55
2018-11-02,10-Q,23.094,22.76,-1.45,23.367,1.18
2018-08-06,10-Q,22.799,25.305,10.99,23.761,4.22
2018-05-07,10-Q,20.185,20.131,-0.26,19.465,-3.57
2018-02-23,10-K,23.47,23.828,1.53,22.341,-4.81
2017-11-03,10-Q,20.406,20.185,-1.08,20.199,-1.01
2017-08-04,10-Q,23.794,23.678,-0.49,23.858,0.27
2017-05-10,10-Q,21.681,21.54,-0.65,20.407,-5.88
2017-03-01,10-K,16.668,16.699,0.18,16.458,-1.26
2016-11-02,10-Q,12.535,12.495,-0.32,12.671,1.08
2016-08-05,10-Q,15.335,15.077,-1.68,15.041,-1.92
2016-05-10,10-Q,13.913,13.931,0.13,13.644,-1.93
2016-02-24,10-K,11.933,12.495,4.71,12.556,5.22
2015-11-05,10-Q,15.451,15.491,0.25,14.196,-8.12
2015-08-07,10-Q,16.167,16.076,-0.56,16.21,0.26
2015-05-11,10-Q,15.966,16.316,2.19,16.583,3.87
2015-02-26,10-K,13.813,13.556,-1.86,13.375,-3.17
2014-11-07,10-Q,16.013,16.129,0.72,17.245,7.69
2014-08-08,10-Q,16.542,17.288,4.51,17.467,5.59
2014-05-09,10-Q,12.151,12.311,1.32,12.771,5.1
2014-02-26,10-K,16.867,16.836,-0.18,16.844,-0.13
2013-11-08,10-Q,9.197,9.647,4.89,9.03,-1.81
2013-08-09,10-Q,10.2,9.825,-3.67,9.467,-7.19
2013-05-10,10-Q,5.117,5.853,14.38,6.1,19.2
2013-03-07,10-K,2.549,2.565,0.63,2.457,-3.61
2012-11-07,10-Q,2.103,2.087,-0.73,2.092,-0.51
2012-08-02,10-Q,1.74,1.818,4.48,1.961,12.68
2012-05-10,10-Q,2.197,2.15,-2.15,1.905,-13.32
2012-02-27,10-K,2.241,2.254,0.57,2.251,0.45
2011-11-14,10-Q,2.215,2.262,2.14,2.117,-4.39
2011-08-12,10-Q,1.754,1.749,-0.3,1.487,-15.24
2011-05-13,10-Q,1.837,1.773,-3.45,1.865,1.52
2011-03-03,10-K,1.624,1.663,2.42,1.601,-1.44
2010-11-12,10-Q,1.989,2.053,3.22,2.066,3.85
2010-08-13,10-Q,1.221,1.252,2.51,1.273,4.26
