Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-02-10,10-K,234.231,238.16,1.68,239.025,2.05
2022-10-27,10-Q,204.506,211.614,3.48,208.598,2.0
2022-08-05,10-Q,206.913,205.499,-0.68,213.491,3.18
2022-05-06,10-Q,204.08,204.246,0.08,202.491,-0.78
2022-02-11,10-K,211.136,212.542,0.67,209.284,-0.88
2021-10-29,10-Q,219.888,220.824,0.43,225.87,2.72
2021-08-05,10-Q,217.779,218.499,0.33,223.152,2.47
2021-05-06,10-Q,226.297,227.461,0.51,227.146,0.38
2021-02-12,10-K,190.89,189.038,-0.97,190.928,0.02
2020-10-30,10-Q,184.988,190.843,3.17,197.775,6.91
2020-08-06,10-Q,176.465,178.906,1.38,185.441,5.09
2020-05-08,10-Q,150.207,151.028,0.55,145.235,-3.31
2020-02-14,10-K,173.947,172.669,-0.73,169.503,-2.56
2019-10-28,10-Q,156.425,158.717,1.47,161.543,3.27
2019-08-02,10-Q,138.646,134.085,-3.29,136.69,-1.41
2019-05-03,10-Q,142.934,141.046,-1.32,138.712,-2.95
2019-02-15,10-K,130.03,129.165,-0.67,130.76,0.56
2018-11-01,10-Q,115.813,116.922,0.96,119.695,3.35
2018-08-03,10-Q,123.956,124.862,0.73,121.22,-2.21
2018-05-04,10-Q,128.5,127.899,-0.47,128.782,0.22
2018-02-15,10-K,143.579,142.867,-0.5,144.107,0.37
2017-10-27,10-Q,139.147,137.652,-1.08,137.608,-1.11
2017-08-04,10-Q,124.333,123.28,-0.85,120.4,-3.16
2017-05-05,10-Q,120.924,120.872,-0.04,119.001,-1.59
2017-02-10,10-K,110.334,111.515,1.07,112.325,1.8
2016-10-28,10-Q,97.619,97.387,-0.24,97.773,0.16
2016-08-04,10-Q,98.62,99.644,1.04,101.384,2.8
2016-05-06,10-Q,88.36,88.276,-0.1,87.334,-1.16
2016-02-12,10-K,77.498,78.898,1.81,81.336,4.95
2015-10-30,10-Q,77.094,78.402,1.7,77.664,0.74
2015-08-07,10-Q,74.38,76.113,2.33,74.763,0.52
2015-05-07,10-Q,78.731,79.477,0.95,80.753,2.57
2015-02-13,10-K,81.007,80.949,-0.07,81.823,1.01
2014-10-31,10-Q,74.688,74.565,-0.16,76.132,1.93
2014-08-08,10-Q,69.001,69.066,0.09,70.975,2.86
2014-05-02,10-Q,69.347,69.445,0.14,69.997,0.94
2014-02-14,10-K,63.463,64.537,1.69,66.007,4.01
2013-11-01,10-Q,63.458,63.651,0.3,63.538,0.13
2013-08-02,10-Q,59.333,58.926,-0.69,58.574,-1.28
2013-05-03,10-Q,52.215,52.246,0.06,54.273,3.94
2013-02-19,10-K,50.691,49.846,-1.67,47.446,-6.4
2012-10-26,10-Q,47.304,48.136,1.76,49.408,4.45
2012-08-03,10-Q,43.377,43.338,-0.09,44.695,3.04
2012-05-04,10-Q,43.703,43.959,0.58,43.672,-0.07
2012-02-17,10-K,43.246,43.531,0.66,43.308,0.14
2011-10-28,10-Q,37.528,37.146,-1.02,37.605,0.2
2011-08-05,10-Q,35.106,32.507,-7.4,34.167,-2.68
2011-05-06,10-Q,43.789,43.684,-0.24,43.638,-0.34
2011-02-28,10-K,40.484,40.013,-1.16,40.985,1.24
2010-10-29,10-Q,33.967,34.376,1.2,35.96,5.87
2010-08-06,10-Q,33.669,33.736,0.2,31.757,-5.68
2010-05-07,10-Q,34.972,36.827,5.3,36.182,3.46
2010-02-26,10-K,33.148,33.563,1.25,34.422,3.84
2009-10-30,10-Q,33.224,33.514,0.87,35.011,5.38
2009-08-07,10-Q,29.418,28.772,-2.2,29.655,0.81
2009-05-08,10-Q,24.684,24.449,-0.95,23.509,-4.76
2009-02-27,10-K,19.609,18.565,-5.32,18.904,-3.6
2008-11-05,10-Q,23.387,22.268,-4.78,21.667,-7.35
2008-08-08,10-Q,34.707,34.7,-0.02,34.332,-1.08
2008-05-02,10-Q,36.66,36.481,-0.49,36.646,-0.04
2008-02-28,10-K,34.276,33.672,-1.76,32.8,-4.3
2007-10-29,10-Q,38.956,38.601,-0.91,38.587,-0.95
2007-08-03,10-Q,37.204,37.517,0.84,37.116,-0.24
2007-05-04,10-Q,35.862,35.68,-0.51,35.416,-1.25
2007-02-26,10-K,35.455,34.639,-2.3,33.844,-4.54
2006-10-30,10-Q,32.16,32.16,0.0,31.637,-1.63
2006-08-04,10-Q,31.07,30.949,-0.39,29.574,-4.82
2006-05-08,10-Q,35.341,35.166,-0.5,33.942,-3.96
2006-02-24,10-K,28.612,28.638,0.09,29.448,2.92
2005-10-28,10-Q,27.725,27.906,0.65,27.686,-0.14
2005-08-05,10-Q,28.247,28.146,-0.36,28.493,0.87
2005-05-06,10-Q,27.848,27.828,-0.07,26.819,-3.7
2005-03-04,10-K,30.498,30.351,-0.48,30.316,-0.6
2004-11-02,10-Q,29.552,30.023,1.59,30.67,3.78
2004-08-06,10-Q,28.344,28.448,0.37,28.47,0.45
2004-05-10,10-Q,27.059,27.23,0.63,27.401,1.27
2004-03-09,10-K,24.605,24.077,-2.15,24.773,0.68
2003-10-31,10-Q,23.61,23.825,0.91,24.207,2.53
2003-08-14,10-Q,22.791,22.817,0.11,23.191,1.75
2003-05-15,10-Q,21.068,20.921,-0.7,20.21,-4.07
2003-03-04,10-K,18.548,18.745,1.06,17.621,-5.0
2002-11-01,10-Q,19.794,19.993,1.01,19.974,0.91
2002-08-12,10-Q,20.704,20.451,-1.22,21.473,3.72
2002-05-02,10-Q,22.89,22.993,0.45,22.387,-2.2
2001-11-14,10-Q,20.108,19.986,-0.61,19.318,-3.93
2001-08-08,10-Q,18.933,18.983,0.26,19.53,3.15
2001-05-11,10-Q,20.208,20.422,1.06,21.727,7.52
2000-11-13,10-Q,17.859,17.666,-1.08,17.282,-3.23
2000-08-10,10-Q,17.946,18.176,1.28,17.811,-0.75
2000-05-12,10-Q,19.226,19.207,-0.1,19.226,0.0
