Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,36.325,36.542,0.6,38.33,5.52
2022-08-03,10-Q,43.227,43.959,1.69,44.417,2.75
2022-05-09,10-Q,45.264,45.293,0.06,45.724,1.02
2022-02-25,10-K,41.264,41.225,-0.09,42.891,3.94
2021-11-03,10-Q,36.775,36.816,0.11,37.048,0.74
2021-08-04,10-Q,31.569,32.177,1.92,32.535,3.06
2021-05-05,10-Q,29.121,29.757,2.18,28.84,-0.96
2021-02-24,10-K,26.628,25.786,-3.16,26.191,-1.64
2020-11-03,10-Q,27.886,27.722,-0.59,28.228,1.22
2020-08-04,10-Q,25.192,24.522,-2.66,24.639,-2.19
2020-05-08,10-Q,24.072,23.976,-0.4,22.942,-4.69
2020-02-11,10-K,31.491,31.44,-0.16,31.899,1.3
2019-10-31,10-Q,28.797,28.702,-0.33,28.297,-1.74
2019-08-01,10-Q,27.883,28.103,0.79,28.523,2.3
2019-05-02,10-Q,31.002,31.096,0.3,30.398,-1.95
2019-02-08,10-K,29.526,29.575,0.17,29.86,1.13
2018-11-01,10-Q,26.804,26.651,-0.57,27.48,2.52
2018-08-02,10-Q,25.762,25.884,0.47,26.42,2.55
2018-05-02,10-Q,24.39,24.674,1.16,24.142,-1.02
2018-02-09,10-K,22.056,22.242,0.84,22.82,3.46
2017-11-02,10-Q,24.176,24.307,0.54,24.426,1.03
2017-08-02,10-Q,22.612,22.624,0.05,22.189,-1.87
2017-05-03,10-Q,19.805,19.846,0.21,19.677,-0.65
2017-02-13,10-K,20.458,20.609,0.74,20.936,2.34
2016-10-26,10-Q,19.013,19.019,0.03,18.693,-1.68
2016-08-09,10-Q,20.31,20.129,-0.89,19.568,-3.66
2016-05-10,10-Q,19.762,20.022,1.31,19.455,-1.55
2016-02-10,10-K,17.471,17.017,-2.6,17.657,1.06
2015-10-30,10-Q,15.356,15.603,1.61,15.449,0.61
2015-07-29,10-Q,16.961,17.239,1.64,17.283,1.89
2015-04-29,10-Q,18.251,18.359,0.59,18.046,-1.12
2015-02-13,10-K,18.084,17.857,-1.25,18.23,0.81
2014-10-29,10-Q,18.715,19.468,4.02,19.903,6.35
2014-07-31,10-Q,16.326,16.568,1.48,16.579,1.54
2014-04-30,10-Q,18.241,18.741,2.74,19.142,4.94
2014-02-14,10-K,15.487,15.648,1.04,15.825,2.19
2013-11-07,10-Q,14.554,14.442,-0.77,14.376,-1.22
2013-08-08,10-Q,15.816,15.771,-0.29,15.527,-1.83
2013-05-10,10-Q,17.879,17.622,-1.44,17.733,-0.82
2013-02-22,10-K,15.249,15.179,-0.46,15.459,1.38
2012-11-07,10-Q,15.199,15.32,0.8,14.445,-4.96
2012-08-09,10-Q,18.399,18.561,0.88,18.119,-1.52
2012-05-10,10-Q,18.39,18.551,0.88,18.237,-0.83
2012-02-09,10-K,18.596,18.499,-0.52,18.586,-0.06
2011-10-26,10-Q,19.6,20.293,3.54,20.297,3.56
