Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-03,10-Q,131.085,129.616,-1.12,126.814,-3.26
2022-08-04,10-Q,86.406,89.262,3.3,96.481,11.66
2022-05-05,10-Q,97.685,102.272,4.7,94.589,-3.17
2022-02-17,10-K,86.315,84.867,-1.68,86.42,0.12
2021-11-04,10-Q,68.875,70.886,2.92,67.776,-1.6
2021-08-05,10-Q,52.252,52.765,0.98,53.27,1.95
2021-05-06,10-Q,51.225,52.512,2.51,50.27,-1.86
2021-02-16,10-K,44.925,45.394,1.04,47.914,6.65
2020-11-03,10-Q,26.71,27.685,3.65,32.378,21.22
2020-08-04,10-Q,33.884,34.226,1.01,35.748,5.5
2020-05-05,10-Q,36.104,35.725,-1.05,37.053,2.63
2020-02-18,10-K,51.438,52.285,1.65,47.494,-7.67
2019-10-31,10-Q,48.361,50.069,3.53,52.163,7.86
2019-08-01,10-Q,51.128,49.102,-3.96,47.885,-6.34
2019-05-02,10-Q,52.761,53.381,1.17,52.976,0.41
2019-02-19,10-K,59.82,60.819,1.67,59.329,-0.82
2018-10-30,10-Q,59.575,59.901,0.55,59.558,-0.03
2018-07-31,10-Q,61.587,61.28,-0.5,62.21,1.01
2018-05-01,10-Q,55.616,55.395,-0.4,57.334,3.09
2018-02-20,10-K,46.415,45.493,-1.99,47.253,1.81
2017-10-31,10-Q,43.061,43.86,1.86,45.022,4.56
2017-08-01,10-Q,37.472,38.192,1.92,38.209,1.97
2017-05-04,10-Q,38.006,38.709,1.85,39.467,3.84
2017-02-21,10-K,39.835,38.982,-2.14,39.371,-1.16
2016-11-01,10-Q,35.844,35.589,-0.71,36.495,1.81
2016-08-02,10-Q,32.569,32.994,1.31,33.756,3.64
2016-05-03,10-Q,36.47,35.119,-3.7,34.682,-4.9
2016-02-23,10-K,26.632,26.665,0.12,27.878,4.68
2015-11-03,10-Q,45.54,45.227,-0.69,43.87,-3.67
2015-08-04,10-Q,39.499,38.905,-1.5,39.919,1.06
2015-05-05,10-Q,51.931,51.954,0.04,50.54,-2.68
2015-02-24,10-K,51.846,52.186,0.66,50.06,-3.44
2014-11-04,10-Q,52.572,53.421,1.61,54.85,4.33
2014-08-05,10-Q,60.361,61.02,1.09,60.876,0.85
2014-05-06,10-Q,57.348,58.115,1.34,58.509,2.02
2014-02-25,10-K,49.492,49.201,-0.59,49.477,-0.03
2013-11-05,10-Q,53.422,54.401,1.83,53.606,0.34
2013-08-02,10-Q,49.001,48.972,-0.06,48.71,-0.59
2013-04-30,10-Q,43.148,42.834,-0.73,44.854,3.95
2013-02-19,10-K,41.828,41.164,-1.59,41.221,-1.45
2012-10-30,10-Q,40.828,41.23,0.99,40.065,-1.87
2012-07-31,10-Q,37.978,38.522,1.43,39.38,3.69
2012-04-30,10-Q,37.175,38.472,3.49,36.321,-2.3
2012-02-21,10-K,38.317,38.472,0.41,40.102,4.66
2011-11-01,10-Q,34.933,35.54,1.74,37.412,7.1
2011-08-02,10-Q,35.973,35.938,-0.1,32.882,-8.59
2011-05-03,10-Q,37.285,36.845,-1.18,37.32,0.09
2011-02-23,10-K,39.306,38.661,-1.64,39.146,-0.41
2010-11-02,10-Q,29.425,29.459,0.12,30.758,4.53
2010-08-05,10-Q,28.355,27.977,-1.33,27.2,-4.07
2010-05-04,10-Q,27.931,27.329,-2.15,27.58,-1.26
2010-02-25,10-K,23.256,23.112,-0.62,23.757,2.15
2009-11-03,10-Q,24.188,24.426,0.99,25.537,5.58
2009-08-04,10-Q,21.168,21.045,-0.58,20.587,-2.74
2009-04-29,10-Q,19.189,18.953,-1.23,20.442,6.53
2009-02-25,10-K,17.747,17.775,0.16,17.127,-3.49
2008-10-29,10-Q,22.926,23.698,3.37,24.439,6.6
2008-07-30,10-Q,38.348,36.962,-3.61,36.858,-3.89
2008-04-30,10-Q,38.594,38.814,0.57,39.383,2.04
2008-02-22,10-K,36.112,36.852,2.05,37.053,2.61
2007-11-01,10-Q,37.062,37.668,1.63,37.392,0.89
2007-08-01,10-Q,35.793,35.576,-0.61,35.757,-0.1
2007-05-03,10-Q,30.692,30.779,0.29,30.293,-1.3
2007-02-23,10-K,29.468,29.802,1.13,28.473,-3.38
2006-11-02,10-Q,26.02,26.574,2.13,27.594,6.05
2006-08-03,10-Q,29.804,29.692,-0.38,29.51,-0.99
2006-05-04,10-Q,28.524,28.653,0.45,28.666,0.5
2006-02-27,10-K,26.527,26.128,-1.5,25.965,-2.12
2005-11-02,10-Q,28.417,29.039,2.19,27.94,-1.68
2005-08-03,10-Q,27.086,27.205,0.44,27.823,2.72
2005-05-05,10-Q,22.014,21.996,-0.09,21.155,-3.9
2005-02-25,10-K,23.547,23.247,-1.27,23.524,-0.1
2004-11-04,10-Q,18.22,18.431,1.16,18.097,-0.68
2004-08-05,10-Q,15.74,15.33,-2.61,15.05,-4.39
2004-05-07,10-Q,14.994,14.715,-1.86,15.122,0.85
2004-03-02,10-K,14.256,14.295,0.27,14.48,1.57
2003-11-12,10-Q,11.625,11.725,0.86,11.619,-0.05
2003-08-13,10-Q,11.016,11.097,0.73,11.053,0.33
2003-05-13,10-Q,10.446,10.395,-0.48,10.422,-0.23
2003-03-26,10-K,10.327,10.482,1.5,10.622,2.85
2002-11-14,10-Q,9.525,9.626,1.06,9.861,3.52
2023-02-16,10-K,107.693,103.479,-3.91,104.602,-2.87
