Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2023-04-27,10-Q,149.94,143.9,-4.03,N/A,N/A
2023-02-14,10-K,147.49,147.55,0.04,147.33,-0.11
2022-10-27,10-Q,140.63,151.0,7.37,148.17,5.36
2022-07-29,10-Q,143.06,143.79,0.51,144.56,1.05
2022-05-06,10-Q,126.8,121.73,-4.0,126.33,-0.37
2022-02-11,10-K,124.48,125.51,0.83,123.98,-0.4
2021-11-02,10-Q,115.8,121.94,5.3,119.86,3.51
2021-08-03,10-Q,144.5,142.22,-1.58,143.2,-0.9
2021-05-04,10-Q,128.48,134.13,4.4,138.0,7.41
2021-02-23,10-K,119.22,119.38,0.13,122.45,2.71
2020-11-05,10-Q,117.26,123.56,5.37,126.81,8.14
2020-08-06,10-Q,108.1,115.09,6.47,115.37,6.73
2020-05-06,10-Q,86.59,95.29,10.05,92.78,7.15
2020-02-06,10-K,82.77,85.44,3.23,95.14,14.95
2019-10-28,10-Q,82.39,81.77,-0.75,80.92,-1.78
2019-07-26,10-Q,84.25,82.38,-2.22,77.73,-7.74
2019-04-25,10-Q,72.71,72.92,0.29,73.61,1.24
2019-02-07,10-K,68.28,68.38,0.15,70.5,3.25
2018-10-30,10-Q,63.92,68.55,7.24,68.77,7.59
2018-08-01,10-Q,59.36,62.18,4.75,65.5,10.34
2018-05-01,10-Q,59.43,56.97,-4.14,55.58,-6.48
2018-02-08,10-K,58.88,59.2,0.54,60.44,2.65
2017-10-23,10-Q,61.47,62.28,1.32,59.58,-3.07
2017-07-20,10-Q,61.12,62.58,2.39,61.62,0.82
2017-04-24,10-Q,65.93,67.35,2.15,68.31,3.61
2017-02-14,10-K,61.6,61.3,-0.49,63.08,2.4
2016-10-24,10-Q,51.19,49.6,-3.11,49.73,-2.85
2016-07-27,10-Q,45.64,46.22,1.27,47.21,3.44
2016-04-26,10-Q,39.33,39.7,0.94,39.66,0.84
2016-02-17,10-K,36.85,36.63,-0.6,36.78,-0.19
2015-10-27,10-Q,39.02,39.31,0.74,38.66,-0.92
2015-07-30,10-Q,38.86,40.66,4.63,40.42,4.01
2015-04-28,10-Q,33.97,34.62,1.91,33.8,-0.5
2015-02-19,10-K,31.85,31.95,0.31,32.48,1.98
2014-10-28,10-Q,28.85,28.59,-0.9,28.45,-1.39
2014-07-31,10-Q,32.94,33.42,1.46,29.86,-9.35
2014-05-01,10-Q,31.65,32.0,1.11,31.73,0.25
2014-02-25,10-K,30.47,30.33,-0.46,31.79,4.33
2013-11-07,10-Q,26.56,27.68,4.22,25.5,-3.99
2013-08-08,10-Q,25.0,25.23,0.92,24.14,-3.44
2013-04-25,10-Q,19.802,19.703,-0.5,17.72,-10.52
2013-03-01,10-K,16.256,16.803,3.36,17.913,10.19
2012-10-30,10-Q,16.919,17.25,1.96,16.289,-3.72
2012-07-26,10-Q,14.234,14.98,5.24,14.284,0.35
2012-04-26,10-Q,11.732,11.616,-0.99,11.434,-2.54
2012-02-29,10-K,17.068,18.013,5.53,16.322,-4.37
2011-11-01,10-Q,12.693,14.201,11.88,14.466,13.97
2011-08-03,10-Q,17.018,15.428,-9.35,15.858,-6.82
2011-05-06,10-Q,28.701,29.099,1.39,29.579,3.06
2011-03-01,10-K,23.63,23.531,-0.42,24.923,5.47
2010-11-05,10-Q,19.421,20.233,4.18,20.101,3.5
2010-08-09,10-Q,14.897,14.019,-5.9,14.765,-0.89
2010-05-10,10-Q,12.992,13.671,5.23,14.997,15.43
2010-03-01,10-K,10.009,10.324,3.15,10.854,8.44
2009-11-06,10-Q,9.909,10.009,1.0,9.943,0.33
2009-08-07,10-Q,14.483,14.98,3.43,14.516,0.23
2009-05-11,10-Q,28.933,28.386,-1.89,29.032,0.34
2009-03-02,10-K,22.338,22.073,-1.19,24.127,8.01
2008-11-10,10-Q,21.559,21.161,-1.84,19.189,-10.99
2008-08-08,10-Q,28.585,29.695,3.88,28.983,1.39
2008-05-09,10-Q,32.512,32.645,0.41,36.009,10.75
2008-02-29,10-K,26.431,25.586,-3.2,26.845,1.57
2007-11-14,10-Q,30.043,30.424,1.27,25.254,-15.94
2007-08-10,10-Q,45.57,47.774,4.84,43.383,-4.8
2007-05-15,10-Q,56.689,56.938,0.44,55.861,-1.46
2007-04-09,10-Q,45.404,47.31,4.2,46.73,2.92
2007-04-09,10-Q,45.404,47.31,4.2,46.73,2.92
2007-03-30,10-K,45.404,47.31,4.2,46.73,2.92
2006-05-12,10-K,45.404,47.31,4.2,46.73,2.92
