Filing Date,Filing Type,Price,Next Price,1d % Change,Next Week Price,1w % Change
2022-11-08,10-Q,74.461,67.595,-9.22,74.063,-0.53
2022-08-02,10-Q,64.609,60.567,-6.26,61.977,-4.07
2022-05-10,10-Q,58.887,59.571,1.16,67.342,14.36
2022-02-24,10-K,38.486,38.308,-0.46,47.217,22.69
2021-11-04,10-Q,33.362,33.036,-0.98,31.751,-4.83
2021-08-03,10-Q,26.116,25.385,-2.8,25.948,-0.64
2021-05-10,10-Q,26.305,24.23,-7.89,26.068,-0.9
2021-02-26,10-K,26.276,27.293,3.87,30.838,17.36
2020-11-09,10-Q,12.07,12.218,1.23,12.534,3.84
2020-08-10,10-Q,16.249,14.947,-8.01,13.715,-15.59
2020-05-06,10-Q,13.204,13.677,3.58,13.244,0.3
2020-02-28,10-K,31.313,31.514,0.64,25.689,-17.96
2019-11-04,10-Q,41.446,39.272,-5.25,36.432,-12.1
2019-07-31,10-Q,47.29,48.957,3.52,42.355,-10.44
2019-05-06,10-Q,53.253,54.086,1.57,49.085,-7.83
2019-02-21,10-K,59.632,59.032,-1.01,59.229,-0.68
2018-11-05,10-Q,61.908,64.908,4.85,63.863,3.16
2018-08-08,10-Q,71.141,68.154,-4.2,67.4,-5.26
2018-05-08,10-Q,67.903,71.55,5.37,73.174,7.76
2018-02-23,10-K,58.623,57.722,-1.54,56.324,-3.92
2017-11-01,10-Q,55.546,57.617,3.73,57.846,4.14
2017-08-02,10-Q,51.427,51.578,0.29,51.67,0.47
2017-05-04,10-Q,48.021,49.991,4.1,50.545,5.26
2017-02-23,10-K,53.37,53.076,-0.55,53.575,0.38
2016-11-01,10-Q,55.828,54.849,-1.75,54.121,-3.06
2016-08-03,10-Q,59.595,59.491,-0.17,58.706,-1.49
2016-05-05,10-Q,60.41,60.346,-0.11,60.68,0.45
2016-02-26,10-K,54.789,54.02,-1.4,54.727,-0.11
2015-10-30,10-Q,57.779,58.585,1.4,58.213,0.75
2015-08-04,10-Q,52.931,52.648,-0.54,54.81,3.55
2015-05-06,10-Q,60.321,58.946,-2.28,57.852,-4.09
2015-02-23,10-K,60.046,60.009,-0.06,58.496,-2.58
2014-10-31,10-Q,63.652,62.37,-2.01,63.015,-1.0
2014-08-05,10-Q,70.434,70.647,0.3,70.931,0.71
2014-05-05,10-Q,66.819,67.617,1.19,68.033,1.82
2014-03-03,10-K,67.268,68.088,1.22,68.598,1.98
2013-10-30,10-Q,66.814,66.828,0.02,67.475,0.99
2013-08-05,10-Q,60.875,60.896,0.03,60.972,0.16
2013-05-01,10-Q,60.047,60.417,0.62,61.233,1.98
2013-02-26,10-K,55.654,55.96,0.55,56.11,0.82
2012-11-02,10-Q,52.92,52.582,-0.64,51.785,-2.14
2012-08-06,10-Q,59.239,60.903,2.81,60.44,2.03
2012-05-03,10-Q,59.885,58.591,-2.16,56.684,-5.34
2012-02-23,10-K,69.412,68.875,-0.77,69.545,0.19
2011-11-03,10-Q,62.84,64.444,2.55,64.774,3.08
